index,Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
154,"Scientist 2, QC Viral Vector",$113K-$223K ,"Novato, CA",168.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
156,Machine Learning Engineer,$72K-$129K ,"Aurora, CO",100.5,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,na
157,Data Scientist/ML Engineer,$71K-$123K ,"New York, NY",97.0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,M
158,Data Scientist,$64K-$106K ,"Chantilly, VA",85.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,na
159,Customer Data Scientist,$118K-$189K ,"Mountain View, CA",153.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,M
161,Data Engineer,Employer Provided Salary:$120K-$145K,"Tampa, FL",132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
162,Data Engineer,$80K-$120K ,"Chicago, IL",100.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
164,Sr. Data Scientist,$80K-$130K ,"Denver, CO",105.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
166,Data Engineer 4 - Contract,$59K-$115K ,"Riverton, UT",87.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
167,Data Analyst - Asset Management,$71K-$136K ,"San Francisco, CA",103.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
168,Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K ,"Pittsburgh, PA",124.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
169,Data Scientist - Bioinformatics,$49K-$85K ,"Richland, WA",67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
170,Data Engineer,$60K-$114K ,"Washington, DC",87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
171,Customer Data Scientist/Sales Engineer,$71K-$204K ,"Chicago, IL",137.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,P
172,Lead Data Scientist,$75K-$125K ,"Cincinnati, OH",100.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,M
174,MongoDB Data Engineer II,$77K-$136K ,"Chattanooga, TN",106.5,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,na
175,Senior Data Scientist Statistics,$74K-$123K ,"Richland, WA",98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
177,Senior Data Analyst,$44K-$78K ,"Clearwater, FL",61.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
178,Senior Spark Engineer (Data Science),$65K-$148K ,"Indianapolis, IN",106.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,na
179,Data Engineer,$59K-$110K ,"Cambridge, MA",84.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
180,BI & Platform Analytics Manager,$85K-$134K ,"Ewing, NJ",109.5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,M
181,Lead Data Scientist,$124K-$204K ,"Boston, MA",164.0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,P
182,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K ,"South San Francisco, CA",169.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,P
183,Senior Data Scientist,$110K-$174K ,"Cupertino, CA",142.0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,P
185,Pricipal Scientist Molecular and cellular biologist,$52K-$101K ,"Boston, MA",76.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
187,"Data Scientist (Actuary, FSA or ASA)",$81K-$133K ,"Frederick, MD",107.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,M
188,Staff Data Scientist,$132K-$211K ,"San Jose, CA",171.5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,M
190,Senior Data Scientist / Machine Learning,$73K-$119K ,"Dallas, TX",96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
191,Data Scientist - Health Data Analytics,$110K-$175K ,"San Francisco, CA",142.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
192,Data Engineer 5 - Contract (Remote),$74K-$140K ,"Riverton, UT",107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
193,Senior Scientist - Neuroscience,$100K-$190K ,"Marlborough, MA",145.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
194,Senior Data Analyst,$43K-$80K ,"Herndon, VA",61.5,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,M
197,Medical Lab Scientist,$17-$24 Per Hour,"West Reading, PA",42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
198,"Risk and Analytics IT, Data Scientist",$91K-$149K ,"Madison, WI",120.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,na
199,"Scientist, Analytical Development",$42K-$82K ,"Cambridge, MA",62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
200,Senior Data Scientist,$116K-$185K ,"San Francisco, CA",150.5,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,P
201,Analytics Manager,$59K-$116K ,"Dearborn, MI",87.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
202,Data Engineer,$48K-$95K ,"Winter Park, FL",71.5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,na
203,Digital Marketing & ECommerce Data Analyst,$31K-$72K ,"San Rafael, CA",51.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,na
204,Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K ,"San Diego, CA",151.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
205,Senior Data Analyst,$55K-$100K ,"Hamilton, NJ",77.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
206,Principal Scientist - Immunologist,$98K-$182K ,"Boston, MA",140.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
207,Senior Data Scientist,$73K-$124K ,"Woodbridge, NJ",98.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
208,Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,"San Francisco, CA",225.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
209,MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour,"Lewes, DE",56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
210,"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K ,"Boston, MA",161.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
211,Sr. Data Scientist II,$111K-$183K ,"New York, NY",147.0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,na
212,Excel / VBA / SQL Data Analyst,$44K-$78K ,"Springfield, MO",61.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
213,Machine Learning Research Scientist,$81K-$159K ,"Pittsburgh, PA",120.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
215,"VP, Data Science",$83K-$166K ,"Phoenix, AZ",124.5,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,na
