Job Title,Salary Estimate,Avg Salary(K),City,State,Python,spark,aws,excel,sql,sas,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Jr. Business Data Analyst,$37K-$76K ,56.5,Harrisburg, PA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,na
Data Scientist,$100K-$160K ,130.0,Laurel, MD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst,$55K-$100K ,77.5,Chicago, IL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$60K-$114K ,87.0,Arlington, VA,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst,$39K-$68K ,53.5,Tacoma, WA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Staff Data Scientist - Technology,$106K-$172K ,139.0,Plano, TX,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist,$86K-$142K ,114.0,San Jose, CA,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$64K-$107K ,85.5,Miami, FL,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,na
Data Management Specialist,$31K-$65K ,48.0,Huntsville, AL,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,na
E-Commerce Data Analyst,$34K-$62K ,48.0,New Orleans, LA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Sr. Scientist II,$117K-$231K ,174.0,San Francisco, CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Insurance Data Scientist,$64K-$106K ,85.0,Atlanta, GA,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,na
Data Modeler,$79K-$134K ,106.5,Landover, MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst / Scientist,$52K-$93K ,72.5,Patuxent River, MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Scientist,$55K-$116K ,85.5,Suitland, MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$72K-$123K ,97.5,McLean, VA,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,na
Data Scientist,$74K-$124K ,99.0,Fort Belvoir, VA,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Analyst,$40K-$73K ,56.5,Milwaukee, WI,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Lead Data Scientist,$102K-$164K ,133.0,Silver Spring, MD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$89K-$153K ,121.0,New York, NY,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,na
Data Scientist,$61K-$110K ,85.5,Syracuse, NY,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
"Data Scientist, Rice University",$65K-$110K ,87.5,Houston, TX,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,na
Senior Data Scientist,$200K-$275KEmployer est.,237.5,Washington, DC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer,$68K-$123K ,95.5,Charlotte, NC,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,M
Senior Data Scientist,$80K-$129K ,104.5,Southfield, MI,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,M
Financial Data Analyst,$41K-$72K ,56.5,Matawan, NJ,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Senior Data Analyst,$39K-$71K ,55.0,Phoenix, AZ,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,na
Research Scientist,$38K-$85K ,61.5,Omaha, NE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$121K-$193K ,157.0,San Francisco, CA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$54K-$102K ,78.0,Lyndhurst, NJ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$83K-$144K ,113.5,Cambridge, MA,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,M
Data Scientist,$120K-$160K ,140.0,New York, NY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$102K-$163K ,132.5,San Francisco, CA,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,M
Data Engineer,$76K-$140K ,108.0,San Francisco, CA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Ag Data Scientist,$60K-$101K ,80.5,Atlanta, IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$82K-$133K ,107.5,Rockville, MD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer,$65K-$125K ,95.0,Minneapolis, MN,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,na
Data Scientist II,$91K-$148K ,119.5,Los Angeles, CA,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,M
Senior Data Engineer,$95K-$173K ,134.0,Charlotte, NC,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$77K-$124K ,100.5,Cambridge, MA,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,na
Data Scientist,$80K-$135K ,107.5,Cincinnati, OH,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,M
Data Engineer,$85K-$159K ,122.0,Washington, DC,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$80K-$105KEmployer est.,92.5,Chicago, IL,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,na
Data Analyst,$43K-$81K ,62.0,Baltimore, MD,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Project Scientist,$29K-$50K ,39.5,Alabaster, AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$82K-$133K ,107.5,Santa Fe Springs, CA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,M
Data Analytics Manager,$26K-$55K ,40.5,Kansas City, MO,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K ,89.5,Ashburn, VA,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,M
Data Scientist,$60K-$102K ,81.0,Chicago, IL,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,na
Senior Data Scientist,$112K-$182K ,147.0,Herndon, VA,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,na
Data Scientist,$64K-$106K ,85.0,Fort Worth, TX,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,na
Associate Scientist,$51K-$112K ,81.5,Valencia, CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
"Scientist 2, QC Viral Vector",$113K-$223K ,168.0,Novato, CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Machine Learning Engineer,$72K-$129K ,100.5,Aurora, CO,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,na
Data Scientist/ML Engineer,$71K-$123K ,97.0,New York, NY,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,M
Data Scientist,$64K-$106K ,85.0,Chantilly, VA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,na
Customer Data Scientist,$118K-$189K ,153.5,Mountain View, CA,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Engineer,Employer Provided Salary:$120K-$145K,132.5,Tampa, FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$80K-$120K ,100.0,Chicago, IL,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Sr. Data Scientist,$80K-$130K ,105.0,Denver, CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer 4 - Contract,$59K-$115K ,87.0,Riverton, UT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Analyst - Asset Management,$71K-$136K ,103.5,San Francisco, CA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K ,124.0,Pittsburgh, PA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist - Bioinformatics,$49K-$85K ,67.0,Richland, WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Engineer,$60K-$114K ,87.0,Washington, DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Customer Data Scientist/Sales Engineer,$71K-$204K ,137.5,Chicago, IL,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,P
Lead Data Scientist,$75K-$125K ,100.0,Cincinnati, OH,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,M
MongoDB Data Engineer II,$77K-$136K ,106.5,Chattanooga, TN,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,na
Senior Data Scientist Statistics,$74K-$123K ,98.5,Richland, WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Analyst,$44K-$78K ,61.0,Clearwater, FL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Spark Engineer (Data Science),$65K-$148K ,106.5,Indianapolis, IN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,na
Data Engineer,$59K-$110K ,84.5,Cambridge, MA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
BI & Platform Analytics Manager,$85K-$134K ,109.5,Ewing, NJ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,M
Lead Data Scientist,$124K-$204K ,164.0,Boston, MA,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,P
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K ,169.0,South San Francisco, CA,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,P
Senior Data Scientist,$110K-$174K ,142.0,Cupertino, CA,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,P
Pricipal Scientist Molecular and cellular biologist,$52K-$101K ,76.5,Boston, MA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K ,107.0,Frederick, MD,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,M
Staff Data Scientist,$132K-$211K ,171.5,San Jose, CA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Senior Data Scientist / Machine Learning,$73K-$119K ,96.0,Dallas, TX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist - Health Data Analytics,$110K-$175K ,142.5,San Francisco, CA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer 5 - Contract (Remote),$74K-$140K ,107.0,Riverton, UT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Scientist - Neuroscience,$100K-$190K ,145.0,Marlborough, MA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Analyst,$43K-$80K ,61.5,Herndon, VA,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,M
Medical Lab Scientist,$17-$24 Per Hour,42.0,West Reading, PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
"Risk and Analytics IT, Data Scientist",$91K-$149K ,120.0,Madison, WI,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,na
"Scientist, Analytical Development",$42K-$82K ,62.0,Cambridge, MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Scientist,$116K-$185K ,150.5,San Francisco, CA,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,P
Analytics Manager,$59K-$116K ,87.5,Dearborn, MI,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Engineer,$48K-$95K ,71.5,Winter Park, FL,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,na
Digital Marketing & ECommerce Data Analyst,$31K-$72K ,51.5,San Rafael, CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,na
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K ,151.5,San Diego, CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Analyst,$55K-$100K ,77.5,Hamilton, NJ,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Principal Scientist - Immunologist,$98K-$182K ,140.0,Boston, MA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Scientist,$73K-$124K ,98.5,Woodbridge, NJ,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,225.0,San Francisco, CA,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,na
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour,56.5,Lewes, DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K ,161.5,Boston, MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Sr. Data Scientist II,$111K-$183K ,147.0,New York, NY,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,na
Excel / VBA / SQL Data Analyst,$44K-$78K ,61.0,Springfield, MO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Machine Learning Research Scientist,$81K-$159K ,120.0,Pittsburgh, PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
"VP, Data Science",$83K-$166K ,124.5,Phoenix, AZ,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,na
Senior Data Scientist,$114K-$182K ,148.0,Burbank, CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Radar Data Analyst,$42K-$76K ,59.0,Huntsville, AL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
PL Actuarial-Lead Data Scientist,$114K-$179K ,146.5,Worcester, MA,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,M
PV Scientist,$60K-$123K ,91.5,Newton, MA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data & Machine Learning Scientist,$100K-$166K ,133.0,Chicago, IL,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,P
Principal Data Scientist (Computational Chemistry),$108K-$173K ,140.5,Salt Lake City, UT,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,na
Data Engineer,$48K-$93K ,70.5,Lafayette, LA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,na
"Principal Scientist, Chemistry & Immunology",$54K-$115K ,84.5,Rochester, NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Software Engineer - Data Visualization,$60K-$127K ,93.5,Annapolis Junction, MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
"Scientist/Senior Scientist, Autoimmune",$90K-$179K ,134.5,Cambridge, MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Staff Machine Learning Engineer,$138K-$224K ,181.0,San Francisco, CA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,na
"Principal Scientist, Hematology",$54K-$115K ,84.5,Rochester, NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Lead Data Engineer,$190K-$220KEmployer est.,205.0,Mountain View, CA,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
