Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Data Engineer,$59K-$110K ,"Cambridge, MA",84.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
BI & Platform Analytics Manager,$85K-$134K ,"Ewing, NJ",109.5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,M
Lead Data Scientist,$124K-$204K ,"Boston, MA",164.0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,P
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K ,"South San Francisco, CA",169.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,P
Senior Data Scientist,$110K-$174K ,"Cupertino, CA",142.0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,P
Pricipal Scientist Molecular and cellular biologist,$52K-$101K ,"Boston, MA",76.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K ,"Frederick, MD",107.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,M
Staff Data Scientist,$132K-$211K ,"San Jose, CA",171.5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Senior Data Scientist / Machine Learning,$73K-$119K ,"Dallas, TX",96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist - Health Data Analytics,$110K-$175K ,"San Francisco, CA",142.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer 5 - Contract (Remote),$74K-$140K ,"Riverton, UT",107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Scientist - Neuroscience,$100K-$190K ,"Marlborough, MA",145.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Analyst,$43K-$80K ,"Herndon, VA",61.5,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,M
Medical Lab Scientist,$17-$24 Per Hour,"West Reading, PA",42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
"Risk and Analytics IT, Data Scientist",$91K-$149K ,"Madison, WI",120.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,na
"Scientist, Analytical Development",$42K-$82K ,"Cambridge, MA",62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Scientist,$116K-$185K ,"San Francisco, CA",150.5,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,P
Analytics Manager,$59K-$116K ,"Dearborn, MI",87.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Data Engineer,$48K-$95K ,"Winter Park, FL",71.5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,na
Digital Marketing & ECommerce Data Analyst,$31K-$72K ,"San Rafael, CA",51.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,na
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K ,"San Diego, CA",151.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Analyst,$55K-$100K ,"Hamilton, NJ",77.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Principal Scientist - Immunologist,$98K-$182K ,"Boston, MA",140.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Senior Data Scientist,$73K-$124K ,"Woodbridge, NJ",98.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,"San Francisco, CA",225.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour,"Lewes, DE",56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
